iter	MultiRMSE
0	1.302652301
1	1.297528442
2	1.292629803
3	1.287519117
4	1.282441557
5	1.27693751
6	1.272658932
7	1.267885869
8	1.263161175
9	1.258575632
10	1.254564906
11	1.250817186
12	1.246323606
13	1.241487953
14	1.237651847
15	1.233397306
16	1.229166146
17	1.225049492
18	1.220785739
19	1.216962478
20	1.213374249
21	1.209033326
22	1.205612895
23	1.202431942
24	1.198822703
25	1.19506883
26	1.191314743
27	1.187938046
28	1.183944877
29	1.180450654
30	1.177614829
31	1.174423758
32	1.17120775
33	1.168144643
34	1.164996539
35	1.161324692
36	1.157727533
37	1.154484114
38	1.150969572
39	1.147952901
40	1.14540507
41	1.142136312
42	1.139119401
43	1.136683954
44	1.133682155
45	1.130851332
46	1.127756249
47	1.125416016
48	1.123129422
49	1.120576981
50	1.118105722
51	1.115624791
52	1.113202676
53	1.110530547
54	1.108233788
55	1.105597818
56	1.102681895
57	1.100175221
58	1.097576951
59	1.094621065
60	1.091631959
61	1.089230919
62	1.086829712
63	1.084161973
64	1.082262326
65	1.07965205
66	1.07715042
67	1.074885913
68	1.072467841
69	1.069952983
70	1.067418969
71	1.065350649
72	1.06313296
73	1.060766933
74	1.058533786
75	1.056656636
76	1.054240806
77	1.052357848
78	1.050530028
79	1.047923262
80	1.045719882
81	1.043469656
82	1.041224637
83	1.038552573
84	1.036680637
85	1.033740196
86	1.031631701
87	1.029163501
88	1.026549018
89	1.024104982
90	1.021983272
91	1.019746139
92	1.017641718
93	1.015860639
94	1.013705573
95	1.011682219
96	1.009833081
97	1.008016724
98	1.005485182
99	1.003638376
100	1.001541409
101	0.999494008
102	0.9976811462
103	0.9956718377
104	0.9939859139
105	0.9926019003
106	0.9906208799
107	0.9885810396
108	0.9872002154
109	0.985283338
110	0.9839294882
111	0.9825379097
112	0.9808025206
113	0.9795831383
114	0.9781046707
115	0.975810181
116	0.9738053241
117	0.9720235426
118	0.9700195139
119	0.9679293727
120	0.9663721197
121	0.9654004208
122	0.9636979173
123	0.962061388
124	0.960209787
125	0.958533586
126	0.9570292264
127	0.955769261
128	0.9544633914
129	0.9529886756
130	0.951126913
