target,n_imputed,rmse_base,rmse_overlay,rmse_diff_base_minus_overlay,mae_base,mae_overlay,mae_diff_base_minus_overlay,r2_base,r2_overlay,r2_diff_overlay_minus_base
c2ltl,1342,0.11940443985065786,0.12156080709693404,-0.0021563672462761724,0.051993813315731226,0.053801825078517954,-0.0018080117627867279,-0.6008167465097072,-0.6591582753399552,-0.05834152883024801
c3ltl,1018,0.1841165697916954,0.20661382554858104,-0.02249725575688563,0.07042885557812417,0.08497647885489323,-0.014547623276769062,0.5672121504348875,0.4549854869052983,-0.11222666352958921
c4ltl,736,0.2955775428144179,0.30676809775777564,-0.011190554943357744,0.1366696687941642,0.12936596914812032,0.007303699646043882,0.5209884903804172,0.4840311699689358,-0.036957320411481365
c5ltl,988,0.5543330970769873,0.5454002480638597,0.00893284901312763,0.3424872729459755,0.34508717874525047,-0.002599905799274993,0.43844187611109364,0.4563946054175919,0.017952729306498272
c6ltl,1365,0.5696121743155695,0.6070240082602455,-0.037411833944675954,0.41673401886181083,0.4503005480700797,-0.03356652920826886,0.5308361132231654,0.46718335213476514,-0.06365276108840023
c7ltl,1564,0.6029090171343052,0.6137063233432389,-0.01079730620893371,0.44263234684515335,0.47007181585940255,-0.027439469014249207,0.5195306687811556,0.5021674267404825,-0.017363242040673077
c8ltl,1611,0.5695700167344296,0.6018287290500307,-0.03225871231560107,0.4224864312468997,0.46323085287244775,-0.04074442162554803,0.5884910689750598,0.5405578263900426,-0.04793324258501719
t1ltl,1624,0.5869883591602447,0.6250611197750039,-0.03807276061475917,0.4416856361057591,0.47938177785537955,-0.03769614174962044,0.5619111685081302,0.5032382188979136,-0.05867294961021652
t2ltl,1621,0.6251124234261299,0.6572414226449046,-0.032128999218774656,0.4843118541278198,0.5229476020981102,-0.0386357479702904,0.5163893185872079,0.46539935510756025,-0.05098996347964768
t3ltl,1580,0.6414619438156369,0.6655413735444635,-0.024079429728826596,0.5040502376052775,0.5364626653964006,-0.03241242779112319,0.4927105656037436,0.45391010220981054,-0.03880046339393306
t4ltl,1585,0.6606974408750337,0.6164111183046908,0.04428632257034293,0.50716146729675,0.4970552578004377,0.010106209496312357,0.4483084404394774,0.5197890956901796,0.07148065525070224
t5ltl,1590,0.6352906572682234,0.6011081185443499,0.03418253872387356,0.49230365397514037,0.4821619745882802,0.01014167938686017,0.46268173682011826,0.5189481908112824,0.056266453991164145
