Track 1 missingness (train)
target  missing_pct  missing_count  present_count  total_count
 s1ltl   100.000000           1694              0         1694
 l3ltl   100.000000           1694              0         1694
 l5ltl   100.000000           1694              0         1694
 s2ltl   100.000000           1694              0         1694
 l4ltl   100.000000           1694              0         1694
 l4ppl   100.000000           1694              0         1694
 s2ppr   100.000000           1694              0         1694
 s1ppr   100.000000           1694              0         1694
 s2ppl   100.000000           1694              0         1694
 l4ppr   100.000000           1694              0         1694
 l5ppr   100.000000           1694              0         1694
 l3ppr   100.000000           1694              0         1694
 l3ppl   100.000000           1694              0         1694
 s1ppl   100.000000           1694              0         1694
 l5ppl   100.000000           1694              0         1694
 s3ltl    99.822906           1691              3         1694
 s1ltr    99.822906           1691              3         1694
 l5ltr    99.822906           1691              3         1694
 l4ltr    99.822906           1691              3         1694
 l3ltr    99.822906           1691              3         1694
 s2ltr    99.822906           1691              3         1694
 s3ltr    99.822906           1691              3         1694
 s3ppr    99.822906           1691              3         1694
 s3ppl    99.822906           1691              3         1694
 l2ltl    99.704842           1689              5         1694
 l2ppl    99.704842           1689              5         1694
 l2ppr    99.645805           1688              6         1694
t12ltl    99.468712           1685              9         1694
 l1ppl    99.409683           1684             10         1694
 l2ltr    99.409683           1684             10         1694
t12ppl    99.350647           1683             11         1694
 l1ltl    99.291618           1682             12         1694
 l1ppr    99.173553           1680             14         1694
t12ppr    99.114525           1679             15         1694
t11ltl    99.055489           1678             16         1694
t11ppl    98.996460           1677             17         1694
 l1ltr    98.760330           1673             21         1694
t11ppr    98.760330           1673             21         1694
t10ppl    98.170013           1663             31         1694
t10ltl    97.992920           1660             34         1694
t12ltr    97.992920           1660             34         1694
t10ppr    97.697754           1655             39         1694
 t9ppl    97.520660           1652             42         1694
 t9ltl    97.520660           1652             42         1694
 t9ppr    96.871307           1641             53         1694
t11ltr    96.753250           1639             55         1694
 t8ppl    96.694214           1638             56         1694
 t8ppr    96.635185           1637             57         1694
 t1ppr    96.576149           1636             58         1694
 t8ltl    96.399055           1633             61         1694
 t2ppr    96.044861           1627             67         1694
 t7ppl    96.044861           1627             67         1694
 t1ppl    95.985832           1626             68         1694
 t2ppl    95.867767           1624             70         1694
 t1ltl    95.867767           1624             70         1694
 c8ppr    95.749702           1622             72         1694
 t2ltl    95.690674           1621             73         1694
t10ltr    95.513580           1618             76         1694
 t7ltl    95.395515           1616             78         1694
 c8ppl    95.277451           1614             80         1694
 t7ppr    95.218414           1613             81         1694
 c8ltl    95.100357           1611             83         1694
 t6ppl    94.510033           1601             93         1694
 t6ppr    94.273911           1597             97         1694
 t5ppl    94.155846           1595             99         1694
 t6ltl    94.096809           1594            100         1694
 t5ppr    94.037781           1593            101         1694
 t9ltr    94.037781           1593            101         1694
 t5ltl    93.860687           1590            104         1694
 t4ppl    93.801651           1589            105         1694
 t4ppr    93.565529           1585            109         1694
 t4ltl    93.565529           1585            109         1694
 t3ppl    93.447464           1583            111         1694
 t3ppr    93.388428           1582            112         1694
 t3ltl    93.270363           1580            114         1694
 c7ppl    93.211334           1579            115         1694
 c7ppr    92.916176           1574            120         1694
 c2ppr    92.680046           1570            124         1694
 c7ltl    92.325859           1564            130         1694
 t8ltr    91.794571           1555            139         1694
 c2ppl    91.086189           1543            151         1694
 t7ltr    88.842972           1505            189         1694
 t6ltr    86.540733           1466            228         1694
 t5ltr    82.939789           1405            289         1694
 c6ppl    82.408501           1396            298         1694
 c6ppr    81.286896           1377            317         1694
 t4ltr    80.696579           1367            327         1694
 c6ltl    80.578514           1365            329         1694
 t3ltr    79.811096           1352            342         1694
 t2ltr    79.574974           1348            346         1694
 c2ltl    79.220779           1342            352         1694
 t1ltr    77.567886           1314            380         1694
 c8ltr    75.796928           1284            410         1694
 c7ltr    70.484062           1194            500         1694
 c3ppr    69.244392           1173            521         1694
 c3ppl    68.713104           1164            530         1694
 c5ppl    61.688313           1045            649         1694
 c3ltl    60.094452           1018            676         1694
 c5ltl    58.323494            988            706         1694
 c5ppr    58.087368            984            710         1694
 c6ltr    56.670601            960            734         1694
 c4ppl    48.347107            819            875         1694
 c4ppr    47.756790            809            885         1694
 c4ltl    43.447460            736            958         1694
anyana    39.669422            672           1022         1694
s45ppl    38.961040            660           1034         1694
s45ppr    38.311687            649           1045         1694
s45ltl    36.953957            626           1068         1694
 c5ltr    25.029516            424           1270         1694
 c2ltr    12.868949            218           1476         1694
 c3ltr     9.740260            165           1529         1694
 c4ltr     8.205431            139           1555         1694
